,sale price,address,latitude,longitude,neighborhood,burough,zip code,gross sq feet,land sq feet
733,950000,"86-05 58TH   AVENUE, ELMHURST, QUEENS, NEW YORK, NY, 11373",40.73160335,-73.8750205833263,ELMHURST,QUEENS,11373,1083,1826
734,600000,"74 RIDGEWOOD PLACE, WEST NEW BRIGHTON, STATEN ISLAND, NEW YORK, NY, 10301",40.63346,-74.098573962556,WEST NEW BRIGHTON,STATEN ISLAND,10301,1864,2500
736,787500,"2287 JOHNSON AVENUE, RIVERDALE, BRONX, NEW YORK, NY, 10463",40.8884982,-73.9092423,RIVERDALE,BRONX,10463,0,0
741,320000,"111-48 145TH STREET, SOUTH JAMAICA, QUEENS, NEW YORK, NY, 11435",40.68546935,-73.7995082917618,SOUTH JAMAICA,QUEENS,11435,784,1400
742,972428,"416 WEST 52ND STREET, CLINTON, MANHATTAN, NEW YORK, NY, 10019",40.76492735,-73.9889842856706,CLINTON,MANHATTAN,10019, -  , -  
743,560000,"79-52 78TH AVENUE, GLENDALE, QUEENS, NEW YORK, NY, 11385",40.7049603,-73.8696319478491,GLENDALE,QUEENS,11385,1820,1460
751,27500000,"114 EAST 40TH   STREET, MURRAY HILL, MANHATTAN, NEW YORK, NY, 10016",40.75024915,-73.9777519968503,MURRAY HILL,MANHATTAN,10016,26178,3950
752,4320380,"252 EAST 57TH   STREET, MIDTOWN EAST, MANHATTAN, NEW YORK, NY, 10022",40.7590843,-73.9658854984473,MIDTOWN EAST,MANHATTAN,10022, -  , -  
753,937000,"10-09 154TH   STREET, BEECHHURST, QUEENS, NEW YORK, NY, 11357",40.79262685,-73.8068819723366,BEECHHURST,QUEENS,11357,1824,2200
754,970000,"83-10 ST JAMES AVENUE, ELMHURST, QUEENS, NEW YORK, NY, 11373",40.73905675,-73.8796378599181,ELMHURST,QUEENS,11373,2252,2500
756,537000,"4342 248TH STREET, LITTLE NECK, QUEENS, NEW YORK, NY, 11363",40.7700381,-73.7408888,LITTLE NECK,QUEENS,11363,1097,2548
758,600767,"31-44 89TH   STREET, JACKSON HEIGHTS, QUEENS, NEW YORK, NY, 11369",40.75862175,-73.8795557965508,JACKSON HEIGHTS,QUEENS,11369,2060,2000
759,1267813,"39TH   AVENUE, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11354",40.760785,-73.82807,FLUSHING-NORTH,QUEENS,11354, -  , -  
764,270000,"300 BAY 19TH STREET, A, BATH BEACH, BROOKLYN, NEW YORK, NY, 11214",40.60090345,-74.0084095,BATH BEACH,BROOKLYN,11214,0,0
765,858000,"1675 73RD   STREET, BENSONHURST, BROOKLYN, NEW YORK, NY, 11204",40.610675,-73.988358,BENSONHURST,BROOKLYN,11204,1180,2000
766,900000,"40-26 COLLEGE POINT BLVD, FLUSHING-NORTH, QUEENS, NEW YORK, NY, 11354",40.7577892,-73.8341437,FLUSHING-NORTH,QUEENS,11354, -  , -  
771,735000,"549 ELLSWORTH AVE, THROGS NECK, BRONX, NEW YORK, NY, 10465",40.8258847,-73.8156196,THROGS NECK,BRONX,10465,3393,2345
774,262424,"99 UNION AVENUE, MARINERS HARBOR, STATEN ISLAND, NEW YORK, NY, 10303",40.6342278,-74.1578502578156,MARINERS HARBOR,STATEN ISLAND,10303,1062,2550
777,75000,"117 SANTA MONICA LANE, PRINCES BAY, STATEN ISLAND, NEW YORK, NY, 10309",40.53558045,-74.2120477,PRINCES BAY,STATEN ISLAND,10309, -  ,3103
778,875000,"1634 57TH   STREET, BOROUGH PARK, BROOKLYN, NEW YORK, NY, 11204",40.6259407083333,-73.989336125,BOROUGH PARK,BROOKLYN,11204,0,0
780,570000,"1471 NEW YORK AVENUE, FLATBUSH-EAST, BROOKLYN, NEW YORK, NY, 11210",40.6370387,-73.9449188369198,FLATBUSH-EAST,BROOKLYN,11210,1760,2000
781,1575000,"99 JOHN STREET, FINANCIAL, MANHATTAN, NEW YORK, NY, 10038",40.7083321,-74.0060563899772,FINANCIAL,MANHATTAN,10038, -  , -  
783,639000,"78-33 78TH   STREET, GLENDALE, QUEENS, NEW YORK, NY, 11385",40.7036812,-73.8718445670192,GLENDALE,QUEENS,11385,1170,2158
785,850000,"280 PARK AVENUE SOUTH, FLATIRON, MANHATTAN, NEW YORK, NY, 10010",40.739497,-73.9871445,FLATIRON,MANHATTAN,10010, -  , -  
786,985000,"47-19 38TH   STREET, SUNNYSIDE, QUEENS, NEW YORK, NY, 11101",40.7414678,-73.9273501,SUNNYSIDE,QUEENS,11101,1920,1710
788,3100000,"210 LAFAYETTE STREET, SOHO, MANHATTAN, NEW YORK, NY, 10012",40.7216918,-73.9978781,SOHO,MANHATTAN,10012, -  , -  
794,730000,"427 JEROME STREET, EAST NEW YORK, BROOKLYN, NEW YORK, NY, 11207",40.6563183,-73.8781718,EAST NEW YORK,BROOKLYN,11207,2080,2300
795,1650000,"201-01 NORTHERN BOULEVARD, BAYSIDE, QUEENS, NEW YORK, NY, 11361",40.7578567,-73.7821804494122,BAYSIDE,QUEENS,11361,2800,1415
797,2433600,"540 16TH ST, WINDSOR TERRACE, BROOKLYN, NEW YORK, NY, 11215",40.65830905,-73.9764523003336,WINDSOR TERRACE,BROOKLYN,11215,1692,1700
799,750000,"104-47 LEFFERTS BOULEVARD, RICHMOND HILL, QUEENS, NEW YORK, NY, 11419",40.68498885,-73.8232790603839,RICHMOND HILL,QUEENS,11419,1230,2025
